condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,X,,,,,1,3,15,9,96.1362105999142,,,,,,,,96.12169279996306,96.12225589994341,96.12227639975026,96.1362105999142,96.1362105999142,96.1362105999142,96.1362105999142,96.1362105999142,96.33638580003753,97.63702740008011,97.63702740008011,97.63702740008011,97.63702740008011,97.63702740008011,97.63702740008011,98.1363359997049,98.63624189980328,98.62090179976076,m,1,0.24567839968949556,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,,,,,1,4,16,5,98.63624189980328,,,,,,,,98.62166889989749,98.62231440003961,98.62233919976279,98.63624189980328,98.63624189980328,98.63624189980328,98.63624189980328,98.63624189980328,98.8362105996348,100.13640399975702,100.13640399975702,100.13640399975702,100.13640399975702,100.13640399975702,100.13640399975702,100.6359103997238,101.13641169993207,101.12038700003177,m,1,0.18631899962201715,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,O,,,,,1,5,17,2,101.13641169993207,,,,,,,,101.12109019979835,101.12161119980738,101.12163359997794,101.13641169993207,101.13641169993207,101.13641169993207,101.13641169993207,101.13641169993207,101.33633189974353,102.6362083000131,102.6362083000131,102.6362083000131,102.6362083000131,102.6362083000131,102.6362083000131,103.1362632997334,103.63622709969059,103.62081879982725,z,1,0.4486738000996411,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,1,6,18,3,103.63622709969059,,,,,,,,103.62151349987835,103.62212509987876,103.62215019995347,103.63622709969059,103.63622709969059,103.63622709969059,103.63622709969059,103.63622709969059,103.83607719978318,105.1376326000318,105.1376326000318,105.1376326000318,105.1376326000318,105.1376326000318,105.1376326000318,105.63766760006547,106.1518504996784,106.12225149990991,z,1,0.4117525997571647,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,X,,,,,1,7,19,8,106.1518504996784,,,,,,,,106.12343119969591,106.12438609963283,106.12442389968783,106.1518504996784,106.1518504996784,106.1518504996784,106.1518504996784,106.1518504996784,106.33655409980565,107.63657279964536,107.6528794998303,107.6528794998303,107.6528794998303,107.6528794998303,107.6528794998303,108.13642739970237,108.6361579997465,108.62045979965478,m,1,0.32651029992848635,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,X,,,,,1,8,20,0,108.6361579997465,,,,,,,,108.62116039963439,108.62159639969468,108.62162079988047,108.6361579997465,108.6361579997465,108.6361579997465,108.6361579997465,108.6361579997465,108.83649289980531,110.1365048000589,110.1365048000589,110.1365048000589,110.1365048000589,110.1365048000589,110.1365048000589,110.63620819989592,111.15151509968564,111.12104899995029,m,1,0.21311770007014275,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,,,,,1,9,21,1,111.15151509968564,,,,,,,,111.12170699983835,111.12236410006881,111.12238929979503,111.15151509968564,111.15151509968564,111.15151509968564,111.15151509968564,111.15151509968564,111.33589919982478,112.63538299966604,112.65324559994042,112.65324559994042,112.65324559994042,112.65324559994042,112.65324559994042,113.13619009964168,113.63516229996458,113.62017509993166,m,1,0.21313440008088946,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,O,,,,,1,10,22,6,113.63516229996458,,,,,,,,113.62087389966473,113.62151039997116,113.62153519969434,113.63516229996458,113.63516229996458,113.63516229996458,113.63516229996458,113.63516229996458,113.83559469971806,115.13582219975069,115.13582219975069,115.13582219975069,115.13582219975069,115.13582219975069,115.13582219975069,115.63576600002125,116.13478960003704,116.12134369974956,z,1,0.3108481001108885,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,1,11,23,11,116.13478960003704,,,,,,,,116.12220859993249,116.12279739975929,116.12282339995727,116.13478960003704,116.13478960003704,116.13478960003704,116.13478960003704,116.13478960003704,116.33587959967554,117.6352689997293,117.6352689997293,117.6352689997293,117.6352689997293,117.6352689997293,117.6352689997293,118.13585769990459,118.63524269964546,118.62002100003883,z,1,0.1491843000985682,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,2,0,24,11,118.63524269964546,,,,,,,,118.62050229962915,118.62112919986248,118.62114719999954,118.63524269964546,118.63524269964546,118.63524269964546,118.63524269964546,118.63524269964546,118.83546149963513,120.13552729971707,120.13552729971707,120.13552729971707,120.13552729971707,120.13552729971707,120.13552729971707,120.63537529995665,121.1345453998074,121.11973939975724,z,1,0.21229369984939694,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
