condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,Instruction_image.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions_image.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,X,,,,,1,6,18,1,126.00066779999906,,,,,,,,,125.98655419999886,125.98700139999892,125.98702479999884,126.00066779999906,126.00066779999906,126.00066779999906,126.20113919999858,127.50197389999994,127.50197389999994,127.50197389999994,127.50197389999994,128.0006403999996,,128.50007499999992,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,1,7,19,3,128.51698020000003,,,,,,,,,128.50037820000034,128.5009011000002,128.50091450000036,128.51698020000003,128.51698020000003,128.51698020000003,128.70130319999953,130.01699849999932,130.01699849999932,130.01699849999932,130.00030399999923,130.5009646999988,130.9999014999994,130.98558109999976,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,O,,,,,1,8,20,6,130.9999014999994,,,,,,,,,130.9862405999993,130.98696779999955,130.9869977999988,130.9999014999994,130.9999014999994,130.9999014999994,131.2005165999999,132.5011190999994,132.5011190999994,132.5011190999994,132.5011190999994,133.00070179999966,133.50097959999948,133.48442830000022,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,1,9,21,4,133.50097959999948,,,,,,,,,133.48491019999892,133.4855738999995,133.48559579999892,133.50097959999948,133.50097959999948,133.50097959999948,133.7012178999994,134.99944849999883,134.99944849999883,134.99944849999883,134.99944849999883,135.50025639999876,136.00011129999984,135.98453399999926,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,,,,,1,10,22,9,136.00011129999984,,,,,,,,,135.98502779999944,135.98550129999967,135.9855228999986,136.00011129999984,136.00011129999984,136.00011129999984,136.1999958999986,137.50004049999916,137.50004049999916,137.50004049999916,137.48387999999977,138.00075279999874,138.48320450000028,138.4674888999998,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,,,,,1,11,23,5,138.48320450000028,,,,,,,,,138.46790959999998,138.46824910000032,138.46826770000007,138.48320450000028,138.48320450000028,138.48320450000028,138.6830121999992,139.98318329999893,139.98318329999893,139.98318329999893,139.98318329999893,140.48377909999908,140.98341710000022,140.96794729999965,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,O,,,,,2,0,24,10,140.98341710000022,,,,,,,,,140.9684989999987,140.96904689999974,140.96907069999907,140.98341710000022,140.98341710000022,140.98341710000022,141.18324930000017,142.4840650999995,142.4840650999995,142.4840650999995,142.4840650999995,142.98346919999858,143.4835022999996,143.46839969999928,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,2,1,25,0,143.4835022999996,,,,,,,,,143.46905979999974,143.46970679999868,143.46973660000003,143.4835022999996,143.4835022999996,143.4835022999996,143.68315389999952,144.98323399999936,144.98323399999936,144.98323399999936,144.98323399999936,145.4837437999995,145.98293659999945,145.96829919999982,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,2,2,26,3,145.98293659999945,,,,,,,,,145.96900409999944,145.9698376999986,145.96987160000026,145.98293659999945,145.98293659999945,145.98293659999945,146.18316129999948,147.48265039999933,147.48265039999933,147.48265039999933,147.48265039999933,147.98299319999933,148.4825138999986,148.46863889999986,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,,,,,2,3,27,9,148.4825138999986,,,,,,,,,148.46920339999997,148.4697500000002,148.4697731999986,148.4825138999986,148.4825138999986,148.4825138999986,148.6829562999992,149.98342690000027,149.98342690000027,149.98342690000027,149.98342690000027,150.4832613999988,150.9827881000001,150.96784339999977,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
